date,num1,num2,num3,num4,num5,num6
2019-08-08,4,20,37,40,44,1
2019-08-07,4,13,44,50,59,1
2019-08-06,20,26,29,34,60,4
2019-08-05,9,19,24,34,56,3
2019-08-04,1,15,17,43,49,4
2019-08-03,1,6,19,47,55,1
2019-08-02,7,27,54,57,58,3
2019-08-01,4,15,32,58,60,1
2019-07-31,39,41,42,44,47,2
2019-07-30,6,10,19,26,42,4
2019-07-29,5,13,30,31,45,3
2019-07-28,10,11,38,50,54,2
2019-07-27,4,6,21,26,52,1
2019-07-26,3,20,29,40,57,1
2019-07-25,13,25,35,37,57,2
2019-07-24,9,19,28,54,60,1
2019-07-23,24,46,50,55,60,2
2019-07-22,5,21,28,56,58,3
2019-07-21,5,13,25,50,58,2
2019-07-20,4,24,39,58,59,4
2019-07-19,11,22,34,51,59,4
2019-07-18,23,25,27,31,40,2
2019-07-17,9,18,35,59,60,3
2019-07-16,14,15,19,25,29,4
2019-07-15,7,25,33,38,47,3
2019-07-14,12,18,20,30,44,2
2019-07-13,2,5,16,30,59,3
2019-07-12,7,31,38,51,59,1
2019-07-11,4,29,40,47,48,2
2019-07-10,9,20,34,58,60,4
2019-07-09,8,10,18,24,48,4
2019-07-08,7,15,19,45,55,3
2019-07-07,4,24,34,39,55,3
2019-07-06,1,5,28,32,53,1
2019-07-05,15,39,40,43,53,2
2019-07-04,2,9,18,25,51,3
2019-07-03,6,8,51,55,57,3
2019-07-02,5,10,41,53,54,2
2019-07-01,8,32,34,45,51,3
2019-06-27,11,14,17,28,39,1
2019-06-24,7,10,18,21,28,4
2019-06-20,34,43,45,56,57,2
2019-06-17,31,36,45,46,59,4
2019-06-13,13,27,32,35,40,2
2019-06-10,25,28,38,40,48,2
2019-06-06,6,16,27,41,58,3
2019-06-03,17,25,45,53,59,2
2019-05-30,2,23,40,51,59,1
2019-05-27,22,24,33,36,51,1
2019-05-23,34,38,40,41,49,4
2019-05-20,4,11,14,20,24,4
2019-05-16,1,36,45,53,56,1
2019-05-13,27,29,39,42,50,3
2019-05-09,12,22,27,43,46,3
2019-05-06,32,34,47,48,51,3
2019-05-02,6,10,16,36,45,2
2019-04-29,1,21,24,30,35,1
2019-04-25,37,47,52,55,60,3
2019-04-22,17,20,24,33,57,4
2019-04-18,22,30,33,49,55,1
2019-04-15,3,13,19,36,50,2
2019-04-11,6,9,34,37,43,4
2019-04-08,3,11,23,34,36,2
2019-04-04,3,6,8,9,35,4
2019-04-01,2,37,43,48,51,3
2019-03-28,4,6,21,37,58,1
2019-03-25,17,25,33,47,51,4
2019-03-21,15,21,27,31,52,4
2019-03-18,11,26,39,49,50,2
2019-03-14,11,13,32,51,55,1
2019-03-11,12,17,18,38,46,2
2019-03-07,7,14,20,38,58,1
2019-03-04,6,9,45,49,55,4
2019-02-28,3,15,18,21,35,2
2019-02-25,18,24,42,55,58,3
2019-02-21,3,4,34,38,39,2
2019-02-18,1,37,39,48,54,4
2019-02-14,7,10,21,33,48,2
2019-02-11,1,2,39,50,60,4
2019-02-07,20,28,50,51,60,3
2019-02-04,3,17,33,39,40,4
2019-01-31,14,16,26,39,56,4
2019-01-28,22,24,26,42,51,3
2019-01-24,13,34,36,49,55,3
2019-01-21,4,8,27,28,32,4
2019-01-17,1,22,23,29,52,2
2019-01-14,17,18,42,50,57,1
2019-01-10,5,44,45,47,54,3
2019-01-07,20,27,34,57,59,2
2019-01-03,5,9,25,33,55,2
